Date,BTC,ETH,BNB,SOL,XRP
2026-07-07 22:10:00,63973,1800.48,584.18,81.99,1.13
2026-07-07 22:11:37,63995,1801.49,584.42,82.02,1.13
2026-07-07 22:13:52,63987,1801.41,584.47,82.07,1.13
2026-07-07 22:14:46,63974,1801.05,584.43,82.07,1.13
2026-07-07 22:19:46,64054,1802.46,584.6,82.14,1.13
2026-07-07 22:33:28,63646,1785.33,581.83,81.3,1.12
2026-07-07 22:54:08,"{'price': 63499, 'change': -0.49521956478756574}","{'price': 1779.24, 'change': -0.9317102542949738}","{'price': 580.87, 'change': -0.6316211613733558}","{'price': 80.9, 'change': -1.2902016964990315}","{'price': 1.11, 'change': -2.8815804126541376}"
2026-07-07 22:54:09,"{'price': 63499, 'change': -0.49521956478756574}","{'price': 1779.24, 'change': -0.9317102542949738}","{'price': 580.87, 'change': -0.6316211613733558}","{'price': 80.9, 'change': -1.2902016964990315}","{'price': 1.11, 'change': -2.8815804126541376}"
2026-07-07 22:56:02,"{'price': 63529, 'change': -0.42839772547288235}","{'price': 1779.94, 'change': -0.8934748953159601}","{'price': 581.29, 'change': -0.5462002693176149}","{'price': 80.93, 'change': -1.254650119980815}","{'price': 1.11, 'change': -2.839590832993385}"
2026-07-07 22:56:09,"{'price': 63529, 'change': -0.42839772547288235}","{'price': 1779.94, 'change': -0.8934748953159601}","{'price': 581.29, 'change': -0.5462002693176149}","{'price': 80.93, 'change': -1.254650119980815}","{'price': 1.11, 'change': -2.839590832993385}"
2026-07-07 23:02:25,"{'price': 63614, 'change': -0.21206740108497776}","{'price': 1783.37, 'change': -0.5600859393649394}","{'price': 581.7, 'change': -0.5384099618323124}","{'price': 81.03, 'change': -1.160944536029982}","{'price': 1.12, 'change': -2.791441635712989}"
2026-07-08 08:51:41,"{'price': 62777, 'change': -0.234254274673598}","{'price': 1755.88, 'change': -0.30427268196799323}","{'price': 569.24, 'change': -1.3426602409757038}","{'price': 78.68, 'change': -2.2573187888206303}","{'price': 1.094, 'change': -2.3948758075554197}"
